フッカー	hooker (rugby)
きょじゃくじ	physically weak or sickly child
ひとめせんぼん	place where one can view a vast number of cherry blossom trees at a glance (esp. Mount Yoshino in Nara Prefecture)
くちへんとう	talking back
こむらがえり	cramp in the leg
カブスカウト	cub scout
フィジカル	physical
さんにんづかい	three-person operation of a puppet (bunraku)
ナックルフォア	knuckle four
サガ	saga
かぎだす	to scent out
パラグライダー	paraglider
しでん	purple lightning
いいよる	to court
シーピーユー	CPU
パント	punt kick (rugby)
あらわ	exposed
むきむき	suitability
みぎあがり	rising diagonally up and to the right
のみさす	to stop drinking
しま	Island
ここら	around here
あきつかみ	emperor
ハウサご	Hausa (language)
ナラタージュ	narratage
がんぴし	traditional Japanese paper made from the fibre of plant species Diplomorpha sikokiana (high quality, glossy)
サンディカリスト	syndicalist
さかなで	rubbing (someone) the wrong way
きげんそ	rare element
ぎょし	God's will
ナイトウエア	nightwear
カチンご	Kachin (language)
うんてい	overhead ladder
ねだいた	floorboard
ひとりぼっち	aloneness
エンプラ	engineering plastics
さかさ	inverted
ナトリウムアマルガム	sodium amalgam
シルバーフォックス	silver fox
そのへん	around there
なぎょうへんかくかつよう	irregular conjugation of verbs ending in "nu" (in written Japanese)
ナットオイル	nut oil
きつねのよめいり	rain shower while the sun shines
かみタバコ	chewing tobacco
けんざい	being actual (as opposed to hidden or latent)
すきこのむ	to do something by choice
パントリー	pantry
かんながら	as a god
スーパー	supermarket
ごふくてん	kimono fabrics shop
あいがんどうぶつ	pet (animal)
きれい	pretty
きゃっかん	objectivity
げんわ	Genna era (1615.7.13-1624.2.30)
いわしさん	clupanodonic acid
あめふり	rainfall
しあがる	to be finished
げんぎょう	on-site work
さんぎょうべつくみあい	industrial union (one relating to a specific industry or occupation)
うみゆり	sea lily
カスカス	dry
パブリックスクール	public school
ひっこみ	retreat
ほねぶと	big-boned
おめどおり	audience (with a person of high standing)
フライズ	flies (area over the stage of a theater)
おうレンズ	concave lens
パンテオン	pantheon
かしこ	there
げんそんざい	Dasein
ジョイントコンサート	joint concert
ぎゃく	inverse
きだん	romantic story
おへや	room
みかえす	to look (stare) back at (someone)
リトルマガジン	little magazine
きつねいろ	light brown
ナフサ	naphtha
こくむちょうかん	Secretary of State
リフォーミスト	reformist
フッター	footer (on a page, document, etc.)
インターナショナル	international
ラッコ	sea otter (Enhydra lutris)
ほつれ	fray
かのう	accepting with pleasure
かりにも	(not even) for a moment
いほうせい	illegality
パンジー	pansy (Viola tricolor var. hortensis)
オーバードクター	unemployed person with a PhD
ワンマンカー	conductorless bus (i.e. having only a driver)
かいていばん	revised edition
ひったくり	purse snatching
えいきょう	British capital
けがにん	wounded person
ウインナソーセージ	Vienna sausage
オージー	orgy
けんおん	temperature measurement
カフェイン	caffeine
ぎょろう	fishing
かいようかいはつ	ocean development
こうくうほけん	aviation insurance
けんごし	morning glory seeds (medicinal use)
さくざつ	complication
まくれる	to be turned up
がいこくじんとうろくほう	Alien Registration Act
こるい	isolated stronghold
パソコン	personal computer
みおとし	oversight
ワイルド	wild
かくしあじ	subtle seasoning that brings out the flavor
ヨーチン	tincture of iodine
かしめる	to crimp
けんしゅうい	medical intern
ナフテン	naphthene
たった	only
そのかた	that
かぎなわ	ninja rope with grappling hook
こうえん	noble
いちまいがい	univalve
ごようたつ	purveyor (to the Imperial Household, etc.)
そそりたつ	to rise (steeply)
フラップ	flap (of an aircraft wing)
こうぞく	cruising
ざんど	earth dug out of a construction site
うがん	Wuhuan (proto-Mongolic nomadic people)
がまぐち	(coin) purse with a metal clasp
やすっぽい	cheap-looking
ラムチョップ	lamb chop
かきあわせる	to pull together with the hands
さつきあめ	early-summer rain
バックホー	backhoe
ハニカムこうぞう	honeycomb construction
けいか	glow of a firefly
かけん	family constitution
ずしずし	thump
かりめんじょう	temporary certificate
げんだん	strong protest
ジャンクフード	junk food
ハッカー	hacker
カナディアン	Canadian
ロングセラー	longtime best seller
たまごいろ	yellowish colour (color)
ねだ	joist
きょれい	empty (useless) formalities
さんじせいげん	birth control
いつげん	exaggeration
あのう	say
ナイティー	nightie
い	soft rush (Juncus effusus var. decipiens)
いっしょう	whole life
こちこち	ticktock
あがた	territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.)
ハディース	Hadith
ジャンダルム	gendarme
ぐみ	oleaster (any plant of genus Elaeagnus)
リバウンド	rebound
かいめん	interface
あしょうさん	nitrous acid
おんばん	phonograph record
けじめ	distinction (e.g. between right and wrong, public and private, etc.)
ピケッティング	picketing
カオダイきょう	Cao Dai
おしだし	pushing something out
こうしゅだい	gallows
かいく	ocean sector
やまひだ	folds of a mountain
きょうじん	lunatic
インテリジェント	intelligent
ナックル	knuckle
みあう	to look at each other
ハイレベル	high-level
ファーニチャー	furniture
げんだいおんがく	modern music
ワード	word
けんけい	wise elder brother
いがん	stomach cancer
かとうせい	oligarchy
おたち	departure
エックス	X
わかりにくい	hard to understand
おのがじし	each and every one
くさびがた	wedge shape
さんばじゅつ	maieutics
こよう	trifling matter
ことたりる	to suffice
けんちょうしゃ	person with normal hearing (i.e. not deaf)
バンパイア	vampire
けんかばやい	quarrelsome
あんど	relief
さんけい	mountain range
みつくち	harelip
ピクルス	pickles
ごがつびょう	blues experienced by college freshmen or workplace recruits shortly after beginning school or work
さぼう	teahouse
ねつぎ	root grafting
えいえん	eternity
ずけずけ	(speak) bluntly
もとごめ	breech-loading
きにいり	favorite
ニクソンショック	Nixon shock (1971 economic measures)
ナーシングホーム	nursing home
ひっつける	to stick
シングル	shingle (wooden tile)
さざい	winter wren (Troglodytes troglodytes)
ぬかばえ	biting midge (any insect of family Ceratopogonidae)
がいはん	outside sales
あらかん	arhat
ふなべり	side of a boat
くらいだおれ	inability to live up to one's rank
しんどい	tired
ごふくもの	piece
ナイトガウン	nightgown
シルバーグレイ	silver gray
きろくやぶり	record-breaking
みいだす	to find out
さしあみ	gill net
こうしんじょ	detective agency
すばしっこい	nimble
きなくさい	smelling burnt
リンター	linter
なつ	summer (on the lunisolar calendar: 16th day of the 4th month to the 15th day of the 7th month)
くきら	Asian koel (Eudynamys scolopacea)
カット	cut
まぜっかえす	to stir well
フットワーク	footwork
ラインプリンター	line printer
リラクセーション	relaxation
さかなつり	fishing
こんとん	chaos
こせん	arc (of a circle)
くつたび	socks
かすめとる	to snatch
さんぼうかじょ	corymbose inflorescence
はちがつ	August
ロジン	rosin
やまひめ	mountain goddess
かたこと	brief remark
